Round,Date,home_team,away_team,HGFT,AGFT,Finished,Year
Round of 32,28/06/2026,Sudáfrica,Canadá,,,0,2026
Round of 32,28/06/2026,México,Corea del Sur,,,0,2026
Round of 32,29/06/2026,Brasil,Japón,,,0,2026
Round of 32,29/06/2026,Países Bajos,Marruecos,,,0,2026
Round of 32,30/06/2026,Alemania,Ecuador,,,0,2026
Round of 32,30/06/2026,Costa de Marfil,Noruega,,,0,2026
Round of 32,30/06/2026,Francia,Suecia,,,0,2026
Round of 32,01/07/2026,Inglaterra,Panamá,,,0,2026
Round of 32,01/07/2026,Bélgica,Irán,,,0,2026
Round of 32,01/07/2026,Estados Unidos,Bosnia y Herzegovina,,,0,2026
Round of 32,02/07/2026,España,Austria,,,0,2026
Round of 32,02/07/2026,Portugal,Croacia,,,0,2026
Round of 32,02/07/2026,Suiza,Argelia,,,0,2026
Round of 32,03/07/2026,Australia,Egipto,,,0,2026
Round of 32,03/07/2026,Argentina,Cabo Verde,,,0,2026
Round of 32,03/07/2026,Colombia,RD Congo,,,0,2026
